CREATE TABLE opord (
    xordernum VARCHAR(20) PRIMARY KEY,  -- Sales order code
    xcus VARCHAR(20) NOT NULL,          -- Customer ID (Foreign Key)
    xdate DATE DEFAULT CURRENT_DATE,    -- Auto-generated order date
    xstatus VARCHAR(20) NOT NULL,       -- Status of the order
    FOREIGN KEY (xcus) REFERENCES cacus(xcus) -- Link to cacus table
);

INSERT INTO opord (xordernum, xcus, xstatus, xdate) VALUES
('ORD-000001', 'CUS-000012', 'Pending', '2023-01-01'),
('ORD-000002', 'CUS-000034', 'Completed', '2023-01-01'),
('ORD-000003', 'CUS-000045', 'Cancelled', '2023-01-03'),
('ORD-000004', 'CUS-000067', 'Completed', '2023-01-07'),
('ORD-000005', 'CUS-000029', 'Pending', '2023-01-10'),
('ORD-000006', 'CUS-000018', 'Cancelled', '2023-01-10'),
('ORD-000007', 'CUS-000056', 'Pending', '2023-01-12'),
('ORD-000008', 'CUS-000081', 'Completed', '2023-01-13'),
('ORD-000009', 'CUS-000039', 'Pending', '2023-01-15'),
('ORD-000010', 'CUS-000062', 'Cancelled', '2023-01-17'),
('ORD-000011', 'CUS-000014', 'Completed', '2023-01-21'),
('ORD-000012', 'CUS-000076', 'Pending', '2023-01-25'),
('ORD-000013', 'CUS-000032', 'Cancelled', '2023-01-30'),
('ORD-000014', 'CUS-000090', 'Completed', '2023-02-01'),
('ORD-000015', 'CUS-000019', 'Pending', '2023-02-02'),
('ORD-000016', 'CUS-000005', 'Completed', '2023-02-05'),
('ORD-000017', 'CUS-000084', 'Cancelled', '2023-02-07'),
('ORD-000018', 'CUS-000050', 'Pending', '2023-02-10'),
('ORD-000019', 'CUS-000024', 'Completed', '2023-02-15'),
('ORD-000020', 'CUS-000068', 'Pending', '2023-02-17'),
('ORD-000021', 'CUS-000041', 'Cancelled', '2023-02-20'),
('ORD-000022', 'CUS-000013', 'Completed', '2023-02-22'),
('ORD-000023', 'CUS-000089', 'Pending', '2023-03-01'),
('ORD-000024', 'CUS-000026', 'Cancelled', '2023-03-05'),
('ORD-000025', 'CUS-000073', 'Pending', '2023-03-10'),
('ORD-000026', 'CUS-000048', 'Completed', '2023-03-11'),
('ORD-000027', 'CUS-000020', 'Pending', '2023-03-13'),
('ORD-000028', 'CUS-000037', 'Cancelled', '2023-03-15'),
('ORD-000029', 'CUS-000053', 'Completed', '2023-03-20'),
('ORD-000030', 'CUS-000066', 'Pending', '2023-03-25'),
('ORD-000031', 'CUS-000028', 'Cancelled', '2023-04-01'),
('ORD-000032', 'CUS-000079', 'Pending', '2023-04-05'),
('ORD-000033', 'CUS-000012', 'Completed', '2023-04-10'),
('ORD-000034', 'CUS-000063', 'Pending', '2023-04-15'),
('ORD-000035', 'CUS-000035', 'Cancelled', '2023-04-20'),
('ORD-000036', 'CUS-000047', 'Completed', '2023-04-25'),
('ORD-000037', 'CUS-000071', 'Pending', '2023-05-01'),
('ORD-000038', 'CUS-000015', 'Cancelled', '2023-05-05'),
('ORD-000039', 'CUS-000056', 'Pending', '2023-05-10'),
('ORD-000040', 'CUS-000080', 'Completed', '2023-05-15'),
('ORD-000041', 'CUS-000006', 'Completed', '2023-05-16'),
('ORD-000042', 'CUS-000002', 'Pending', '2023-05-17'),
('ORD-000043', 'CUS-000084', 'Cancelled', '2023-05-18'),
('ORD-000044', 'CUS-000023', 'Cancelled', '2023-05-20'),
('ORD-000045', 'CUS-000028', 'Pending', '2023-05-22'),
('ORD-000046', 'CUS-000086', 'Completed', '2023-05-24'),
('ORD-000047', 'CUS-000021', 'Cancelled', '2023-05-27'),
('ORD-000048', 'CUS-000028', 'Pending', '2023-05-28'),
('ORD-000049', 'CUS-000061', 'Completed', '2023-06-01'),
('ORD-000050', 'CUS-000067', 'Pending', '2023-06-03'),
('ORD-000051', 'CUS-000055', 'Cancelled', '2023-06-07'),
('ORD-000052', 'CUS-000009', 'Completed', '2023-06-08'),
('ORD-000053', 'CUS-000048', 'Cancelled', '2023-06-12'),
('ORD-000054', 'CUS-000065', 'Completed', '2023-06-14'),
('ORD-000055', 'CUS-000020', 'Completed', '2023-06-15'),
('ORD-000056', 'CUS-000002', 'Pending', '2023-06-18'),
('ORD-000057', 'CUS-000016', 'Cancelled', '2023-06-22'),
('ORD-000058', 'CUS-000079', 'Completed', '2023-06-25'),
('ORD-000059', 'CUS-000030', 'Pending', '2023-06-27'),
('ORD-000060', 'CUS-000049', 'Completed', '2023-06-30'),
('ORD-000061', 'CUS-000043', 'Cancelled', '2023-07-02'),
('ORD-000062', 'CUS-000080', 'Completed', '2023-07-05'),
('ORD-000063', 'CUS-000058', 'Cancelled', '2023-07-07'),
('ORD-000064', 'CUS-000043', 'Pending', '2023-07-10'),
('ORD-000065', 'CUS-000017', 'Completed', '2023-07-13'),
('ORD-000066', 'CUS-000010', 'Cancelled', '2023-07-15'),
('ORD-000067', 'CUS-000002', 'Completed', '2023-07-18'),
('ORD-000068', 'CUS-000062', 'Completed', '2023-07-20'),
('ORD-000069', 'CUS-000044', 'Cancelled', '2023-07-24'),
('ORD-000070', 'CUS-000088', 'Completed', '2023-07-30'),
('ORD-000071', 'CUS-000065', 'Completed', '2023-08-02'),
('ORD-000072', 'CUS-000085', 'Completed', '2023-08-04'),
('ORD-000073', 'CUS-000016', 'Cancelled', '2023-08-06'),
('ORD-000074', 'CUS-000058', 'Completed', '2023-08-08'),
('ORD-000075', 'CUS-000002', 'Completed', '2023-08-10'),
('ORD-000076', 'CUS-000024', 'Pending', '2023-08-14'),
('ORD-000077', 'CUS-000036', 'Completed', '2023-08-18'),
('ORD-000078', 'CUS-000020', 'Cancelled', '2023-08-20'),
('ORD-000079', 'CUS-000084', 'Pending', '2023-08-23'),
('ORD-000080', 'CUS-000028', 'Completed', '2023-08-25'),
('ORD-000081', 'CUS-000011', 'Completed', '2023-08-26'),
('ORD-000082', 'CUS-000045', 'Cancelled', '2023-08-28'),
('ORD-000083', 'CUS-000022', 'Pending', '2023-08-30'),
('ORD-000084', 'CUS-000037', 'Completed', '2023-09-02'),
('ORD-000085', 'CUS-000018', 'Cancelled', '2023-09-03'),
('ORD-000086', 'CUS-000053', 'Pending', '2023-09-05'),
('ORD-000087', 'CUS-000069', 'Completed', '2023-09-08'),
('ORD-000088', 'CUS-000032', 'Cancelled', '2023-09-10'),
('ORD-000089', 'CUS-000066', 'Pending', '2023-09-12'),
('ORD-000090', 'CUS-000078', 'Completed', '2023-09-14'),
('ORD-000091', 'CUS-000033', 'Pending', '2023-09-16'),
('ORD-000092', 'CUS-000041', 'Cancelled', '2023-09-18'),
('ORD-000093', 'CUS-000076', 'Completed', '2023-09-20'),
('ORD-000094', 'CUS-000012', 'Cancelled', '2023-09-22'),
('ORD-000095', 'CUS-000059', 'Pending', '2023-09-24'),
('ORD-000096', 'CUS-000027', 'Completed', '2023-09-26'),
('ORD-000097', 'CUS-000071', 'Pending', '2023-09-28'),
('ORD-000098', 'CUS-000015', 'Cancelled', '2023-09-30'),
('ORD-000099', 'CUS-000081', 'Completed', '2023-10-02'),
('ORD-000100', 'CUS-000035', 'Cancelled', '2023-10-04'),
('ORD-000101', 'CUS-000046', 'Pending', '2023-10-06'),
('ORD-000102', 'CUS-000064', 'Completed', '2023-10-08'),
('ORD-000103', 'CUS-000089', 'Cancelled', '2023-10-10'),
('ORD-000104', 'CUS-000007', 'Pending', '2023-10-12'),
('ORD-000105', 'CUS-000054', 'Completed', '2023-10-14'),
('ORD-000106', 'CUS-000083', 'Cancelled', '2023-10-16'),
('ORD-000107', 'CUS-000019', 'Pending', '2023-10-18'),
('ORD-000108', 'CUS-000068', 'Completed', '2023-10-20'),
('ORD-000109', 'CUS-000047', 'Cancelled', '2023-10-22'),
('ORD-000110', 'CUS-000008', 'Pending', '2023-10-24'),
('ORD-000111', 'CUS-000052', 'Completed', '2023-10-26'),
('ORD-000112', 'CUS-000063', 'Cancelled', '2023-10-28'),
('ORD-000113', 'CUS-000079', 'Pending', '2023-10-30'),
('ORD-000114', 'CUS-000023', 'Completed', '2023-11-02'),
('ORD-000115', 'CUS-000039', 'Cancelled', '2023-11-04'),
('ORD-000116', 'CUS-000050', 'Pending', '2023-11-06'),
('ORD-000117', 'CUS-000042', 'Completed', '2023-11-08'),
('ORD-000118', 'CUS-000014', 'Cancelled', '2023-11-10'),
('ORD-000119', 'CUS-000067', 'Pending', '2023-11-12'),
('ORD-000120', 'CUS-000040', 'Completed', '2023-11-14'),
('ORD-000121', 'CUS-000005', 'Completed', '2023-11-16'),
('ORD-000122', 'CUS-000057', 'Cancelled', '2023-11-18'),
('ORD-000123', 'CUS-000034', 'Pending', '2023-11-20'),
('ORD-000124', 'CUS-000070', 'Completed', '2023-11-22'),
